ClimateZone,Temperature,Rainfall
Tropical,30.993428306022466,214.7693315999082
Tropical,29.72347139765763,203.4273656237994
Tropical,31.295377076201383,197.6870343522352
Tropical,33.04605971281605,193.97792608821422
Tropical,29.531693250553328,170.42956019265145
Tropical,29.53172608610164,185.60311583210583
Tropical,33.15842563101478,190.78722458080426
Tropical,31.534869458305817,221.1424445243783
Tropical,29.061051228130097,206.87236579136922
Tropical,31.08512008717193,164.73919689274533
Tropical,29.073164614375074,206.4816793878959
Tropical,29.068540492859487,192.29835439167368
Tropical,30.48392454313207,186.46155999388083
Tropical,26.173439510684403,212.23352577681734
Tropical,26.550164334973935,220.61999044991902
Tropical,28.875424941518055,218.62560238232396
Tropical,27.974337759331153,183.21564953554724
Tropical,30.628494665190548,193.8157524829757
Tropical,28.183951848957577,206.62526862807127
Tropical,27.175392597329417,219.51090254244718
Tropical,32.93129753784311,190.4165152430942
Tropical,29.54844739902693,196.28682046672367
Tropical,30.13505640937585,177.87330051987942
Tropical,27.150503627573087,176.0758675183866
Tropical,28.911234550949636,216.25051644788397
Tropical,30.22184517941973,227.12480057141647
Tropical,27.698012845155393,198.55979756839332
Tropical,30.751396036691343,220.07065795784047
Tropical,28.79872262016239,207.2327205009527
Tropical,29.416612500413446,187.0976049078975
Tropical,28.796586775541208,207.2279121101683
Tropical,33.70455636901787,230.76073132931938
Tropical,29.97300555052413,199.28347921780096
Tropical,27.8845781420882,231.29287311628013
Tropical,31.645089824206377,147.6050979182051
Tropical,27.558312700057954,216.43805008750448
Tropical,30.41772719000951,201.74094136476342
Tropical,26.08065975224045,194.01985299068264
Tropical,27.34362790220314,201.83521553071006
Tropical,30.393722471738247,160.24862170798215
Arid,39.340984336487466,10.406143923504793
Arid,41.07133771453524,19.867430622753915
Arid,44.43368213422455,20.301151049705133
Arid,38.44518934517906,32.316210562426434
Arid,37.574519191320434,19.038195176094387
Arid,38.49472886924639,21.507736711668063
Arid,42.746206353106224,19.826441151473784
Arid,40.98625332897905,14.156609811902339
Arid,38.41071938869889,25.714114072575104
Arid,41.53980229934007,23.759665163433873
Arid,40.29123264804412,23.955159735215233
Arid,42.90593497159867,15.453062726026305
Arid,37.89384071836794,27.013971554680495
Arid,39.01701356020669,12.990744686038596
Arid,38.823675540603524,22.934285469001352
Arid,35.60945515560364,30.952278129049894
Arid,40.88836083119373,15.047318374346558
Arid,40.783165816539665,17.16851135198614
Arid,40.01534036992738,20.498256825438204
Arid,39.296238599874556,17.482621729419005
Arid,35.75388777384876,12.246682844669337
Arid,38.73806403170392,20.342814874030136
Arid,38.97185645041969,14.688481431369475
Arid,37.59316819233514,22.36796215317591
Arid,39.516142865001974,15.402878828830985
Arid,41.212152570443614,27.749672025087698
Arid,45.65855770363159,16.083733538318814
Arid,40.52373343849552,18.38969241897162
Arid,40.772651172168295,24.067586086848348
Arid,39.7766622527015,13.845678417830225
Temperate,20.454919869208258,91.10485570374476
Temperate,22.614285508564855,91.84189715034562
Temperate,16.785033530877545,99.22898290585896
Temperate,20.36926771706461,103.41151974816644
Temperate,20.519765588496846,102.7669079933002
Temperate,21.56364574355462,108.27183249036024
Temperate,17.526098578243836,100.13001891877907
Temperate,17.359086773831446,114.53534077157317
Temperate,21.043883131233795,97.35343166762044
Temperate,20.593969346466373,127.20169166589619
Temperate,20.500985700691754,106.25667347765007
Temperate,20.69289641899395,91.42842443583717
Temperate,18.63995055684302,89.29107501938887
Temperate,20.464507394322005,104.82472415243186
Temperate,20.58614494659736,97.7653721467415
Temperate,18.571297163947264,107.14000494092092
Temperate,23.731549022289514,104.73237624573545
Temperate,20.947665841823575,99.27171087343127
Temperate,17.617393005594703,91.53206281931595
Temperate,21.31310721726766,84.85152775314135
Temperate,18.050636659545358,95.53485047932979
Temperate,21.574169207484903,108.56398794323472
Temperate,22.317191158014808,102.14093744130204
Temperate,18.358635363296578,87.54261221288012
Temperate,21.926752258488644,101.73180925851182
Temperate,20.825561853872998,103.85317379728836
Temperate,21.64412031998898,91.16142563798867
Temperate,23.793585965307894,101.53725105945527
Temperate,19.50922376799426,100.58208718446
Temperate,18.49252767128502,88.57029702169376
Cold,5.715574720696567,61.573292833367546
Cold,6.121569052736469,40.66367403704126
Cold,7.166102486350554,53.431300951872565
Cold,7.1076041040698055,41.93642064405174
Cold,2.244661264085818,47.64034067105283
Cold,3.124349920169754,55.44475298483683
Cold,6.0300705344173195,50.321400095477316
Cold,6.027571901824418,44.61127611035347
Cold,6.030095372612096,46.42348145370016
Cold,12.705462981309442,53.39798874467338
Cold,6.141781021386334,46.34816684141432
Cold,7.271131280361198,51.08229294790988
Cold,6.908003526986405,50.22785919951907
Cold,6.302782502611596,46.74199826197091
Cold,4.369461510719309,60.719720446626624
Cold,6.517938440986535,53.169595111590056
Cold,3.4543495709248564,39.874287066711965
Cold,4.526362786519982,50.93227157384714
Cold,4.029272904341793,46.69106767615806
Cold,5.163748278772645,54.26216667398112
